q1,q2,is_duplicate
How do you take a screenshot on a Mac laptop?,How do I take a screenshot on my MacBook Pro? What are some instructions?,1.0
Is the US election rigged?,Was the US election rigged?,1.0
How scary is it to drive on the road to Hana given all of the turns?,Do I need a four-wheel-drive car to drive all the way on the Road to Hana?,0.0
What should I do when my friends betray me?,What can I do when my friend betrayed me?,1.0
How can I see who blocked me at Facebook?,Will I see if someone blocked me of Facebook?,1.0
Why India does not have friendly relations with it's neighbouring countries?,How are India's relations with the U.S.A.?,0.0
Why are my bestfriend still ignoring me?,What should I do when my bestfriend is ignoring me?,0.0
Did Trump win the election?,Does Donald Trump have any chance of winning the forthcoming election?,1.0
I am a straight A student but have no motivation or will whatsoever to go to school. Can someone help me fight this?,"My fiancÃ©e died recently and it pains my heart, how do I learn to cope with this?",0.0
Who are the Rohingya Muslims?,Who are the Rohingya people?,1.0
What are natural numbers?,What is a least natural number?,0.0
Can we control our actions in a dream?,Can we control our dreams? Can we dream what we wanna dream about?,1.0
What is the difference between a turkey and a chicken?,"Why does turkey have darker, more flavorful dark meat than chicken?",0.0
What is the opera song with a choir used for horror movies?,"What are an opera choir's rights? Do we get paid for rehearsals? Are we entitled to catering throughout rehearsals, etc. (part of an opera company)?",0.0
Did Ronald Reagan have a mannerism in his speech?,How did Ronald Reagan react to 9/11?,0.0
Who is the most powerful character in Skyrim apart from Alduin?,Who would win the Dovahkiin from Skyrim or Kylo ren?,0.0
Where can I buy meldonium in Canada?,Where can I buy meldonium in the U.S.?,0.0
Who is israil friend?,Is my boyfriend lying about his true feelings for his friend and is he secretly attracted to her?,0.0
What words rank the highest on Dictionary.com's difficulty index?,Can Hindi words get a place in the Oxford dictionary?,0.0
What can you do in lucid dreams?,How was your experience of Lucid dreaming?,1.0
Why are women who are on their periods are regarded as 'unclean' such that they are prevented in taking an actived part in rituals (Hinduism)?,"Why is it always expected that a woman should take care of housework, children and cooking (especially in Indian culture)? Are these activities the responsibility of women alone? Why do men not share equally in such work?",0.0
How should I study,What are some tricks to study effectively?,1.0
How many marks should I score for AIIMS rank 151?,What minimum marks should I score to get among top 50 in AIIMS?,0.0
"I got job offer @ Chelmsford-Essex, London with Â£3764 PM pay-after tax deduction. Pls advice tentative monthly expenses for couple? &amp; saving possible?","If I am leaving Norway, can I pay down my mortgage with my BSU account, and then sell my apartment without having to pay back the tax deduction I got for having BSU?",0.0
What is your take on Urjit Patel as the new RBI governor?,Is Urjit Patel is right person for RBI Governor?,1.0
What job possibilities exist for a Bachelors in Homeland Security?,What jobs are available with a bachelorâ€™s degree in Homeland Security?,1.0
Will the recent demonetisation results in higher GDP? If so how much?,How demonetisation could affect the GDP of India in both short run and long run?,0.0
What does it mean when a guy says I like you?,"What does it mean when a guy says ""Be safe""?",0.0
What is working hard (not in terms of studying)?,What is working hard in terms of studying?,0.0
What are some unusual aspects about politics and government in Hungary?,What are some unusual aspects about politics and government in Singapore?,0.0
How do scientists work?,Where do scientists work?,0.0
What is the best site for downloading Kannada films in torrent form?,What's a good torrent site to download games from?,0.0
Is government liasioning legal in India?,Is UberMoto legal in India?,0.0
How do you get deleted Instagram chats?,How can I view deleted Instagram dms?,1.0
Why did the puppet they used for Yoda in Episode I suck so bad?,"Why do people not question ""news"" posts and opinions posted on social media websites?",0.0
Mobile Number Portability finally will start on May 3. Do network providers really agree to this?,"Mobile number portability finally will start on May 3rd, including changing circles. Have network providers really agreed to this?",0.0
Why do male porn stars masturbate to ejaculate?,Is it OK for a husband and wife to masturbate together? Is it considered cheating if your partner is masturbating without your consent?,0.0
What are the conditions in European refugee camps?,How are the conditions inside European Refugee Camps?,1.0
What is the most creative college admissions essay you've read?,Has any college admission officer cried in public while reading an applicant's essay?,0.0
What's one thing you would like to do better?,What's one thing you do despite knowing better?,0.0
Why do companies issue bonus shares?,Why do company issue bonus shares?,1.0
How can I see the Comedy Nights with Kapil live show?,What is the way to watch Comedy Nights with Kapil live on the sets?,1.0
Israel vs Iran: who would win?,"If Israel and Iran went to war, who would win?",1.0
What are the best horror novel in 2016?,What are some of the best horror novels of 2014?,0.0
Does a fetus breathe when it's inside a womb?,How does a fetus exhale in the womb?,1.0
What are the sensors available in Acer Liquid Z630S Android Smart phone by using CPU-Z App?,Which useful Android phone apps are not available in the Google Play store?,0.0
Which one is better among KMC Manipal and KMC Mangalore?,What is the brief comparison of KMC in Manipal and Mangalore?,1.0
What are the life lessons that Batman teaches us?,What are the life lessons you can learn from the dark knight?,1.0
"I accidentally took my blood pressure medicine twice, will I be ok?",Is 100/76 ok blood pressure?,0.0
"What is the difference between bay, gulf and straits?",What exactly is the difference between a sea and a bay?,0.0
Which car has good build quality in india?,Is Volkswagen a good reliable car?,0.0
Did Ben Affleck shine more than Christian Bale as Batman?,"No fanboys please, but who was the true batman, Christian Bale or Ben Affleck?",1.0
How do you cancel USAA auto insurance?,Auto insurance Broker fee in CALIFORNIA?,0.0
How can I find job in Japan?,How can I find an IT job in Japan?,0.0
Why hasn't Gayle Laakmann McDowell/careercup created a MOOC or a coding bootcamp?,"Is Gayle Laakmann McDowell planning on publishing any more books? If so, what is she working on?",0.0
Hypothetical scenario: Our actual credit card system &amp; banking never existed before. How would you implement a digital currency on the Internet today?,What are some inventions from the Neolithic Age?,0.0
Why does India sabotage and badmouth all economic projects which its neighbouring counries have in the world?,Why does India always sabotage and badmouth all economic projects Pakistan have with other countries in the world?,0.0
What Game of Thrones villain would be the most likely to give you mercy?,What Game of Thrones villain would you most like to be at the mercy of?,1.0
How will the implementation of GST bill impact the lives of common people?,What exactly is GST bill and how exactly will it affect the common people?,1.0
What mythical creatures are in the Bible?,What do mythical creatures eat?,0.0
What are good websites for escorts?,How do I find a good escort?,0.0
How do I know if someone blocked my texts?,If I turn of my user id off can I text someone that blocked me?,0.0
What are the best self-help books you've ever read?,What are the top self help books I should read?,1.0
How I can speak English fluently?,How can I learn to speak English fluently?,1.0
What is in bone marrow?,What does bone marrow taste like?,0.0
What is reactance in a capacitor?,What is the reason behind the reactance of a capacitor?,1.0
What is the right etiquette for wishing a Jehovah Witness happy birthday?,How important is it to be the first person to wish someone a happy birthday?,0.0
"How hard is it to fake appearing ""spiritual"" in a Christian community?",Why did the Battle of Agincourt happen? How does it compare to the Battle of Edge Hill?,0.0
How would do you describe a person with lots of interests?,What are some examples of how to describe a person in a positive light?,0.0
Will the Supreme Court's decision of playing the National Anthem before movie screenings affect your patriotism?,What are your views on the supreme court's decision to make playing national anthem mandatory in cinema halls?,1.0
How is the job situation in New Zealand for computer science graduates?,How is the job situation in New Zealand for computer science graduates diploma?,1.0
Should there be a war between India and Pakistan for Kashmir?,Why is there a conflict between India and Pakistan on Kashmir?,0.0
What is the difference between a neutral state and a buffer state?,"If every state of the USA declared war against each other, which would win?",0.0
How do I switch from Apple Music to Spotify?,Should I switch from Spotify to Apple Music?,0.0
"In the play ""A Raisin in the Sun"", why do Walter ad Beneatha argue?","In ""A Raisin in the Sun"", why do Walter and Beneatha argue?",1.0
Does anyone see the relation between Greek gods and Hindu gods?,"What parallelism can we draw between gods of Hindu mythology, Greek mythology, Egyptian mythology, etc.?",1.0
Why was cyrus mistry removed?,Why TATA sons replaced Cyrus Mistry to Ratan TATA?,1.0
Who are the best headhunters in Mumbai?,Who are the best headhunters?,0.0
Why am I mentally very lonely? How can I solve it?,"Find the remainder when [math]23^{24}[/math] is divided by 24,23?",0.0
How can I consult a good free online astrologer?,Are there any good free online astrologers?,1.0
What are 5 facts about the earth's crust?,How does the Earth's core affect its crust?,0.0
Which Marvel movies have not included Stan Lee cameos?,What is your favourite Stan Lee cameo in a Marvel film?,0.0
A title for my continuation to The Gift of the Magi?,How do I start my continuation for the Gift of the Magi?,0.0
"Why did British engineering and manufacturing skills decline so dramatically in the 60s, 70s and 80s, especially when compared with Germany's?","Why did the UK have bad living standards in the 70s/80s, but better now?",0.0
What is the ultimate way to serve humanity?,How can one serve humanity?,1.0
What is the first moment you remember in your Life?,What is the very first thing you remember in your life?,1.0
How is time travel possible?,Do you think time travel is possible?,1.0
Which is the best digital marketing institution in banglore?,Which is the best digital marketing institute in Pune?,0.0
What are some of the most mind-blowing facts about Bengaluru?,What are some interesting facts about Bengaluru?,1.0
"What is a ""function"" in the context of functional programming?",What is functional programming?,0.0
Can you debeak cockerels at 8 months old?,How much and with what should I feed my 3 months old raven?,0.0
How can I stop being afraid of working?,How do you stop being afraid of everything?,0.0
"Why is Oberon mad at Titania in ""A Midsummer Night's Dream""?","Why does Oberon punish Titania in ""A Midsummer Night's Dream""?",0.0
I'm 18. What should I do?,What can I do when I'm 18?,1.0
What's it like to be a non-smoking mother of smoking children?,What's it like to be non-smoking mother of the smoking children?,1.0
How do you feel when someone upvotes your answer on Quora?,How does it feel to see upvotes to your answer on Quora?,1.0
Does Rahul Gandhi have any chance to become next PM of India after Modi?,Does Rahul Gandhi have chances to become next Pm of India after Modi?,1.0
Why is sandeep maheshwari not on Quora?,Who is Sandeep Maheshwari?,0.0
I wish to simulate a fake location for an app running on my iOS device. How do you fake a GPS location for iOS without jailbreaking as a non-coder?,How can I fake my iPhone location without jailbreaking?,0.0
What is the work of an executive recruiter like?,What is it like to work with an executive recruiter?,0.0
How do I lose weight without doing any sport?,How do I lose weight without doing exercise or diet?,1.0
What is the best combination of courses I can take up along with CA to enhance my career?,What courses must be taken along with CA course?,1.0
Which business is good start up in Hyderabad?,Which business is better to start in Hyderabad?,1.0
What is abstract expressionism in painting?,What are some of the major influences of abstract expressionism?,0.0
What is journalism for you?,What is journalism?,0.0
"How can the drive from Brooklyn to Staten Island be described, and how do these cities' tourist attractions compare to those in Queens?","How can the drive from Brooklyn to Staten Island be described, and how do these cities' tourist attractions compare to other tourist attractions?",0.0
Is YouTube Red's offline feature as good as downloading the video itself?,Is it possible to still have a decent credit rating after chapter 7?,0.0
What year did the letter J come?,When was the Letter J created?,1.0
How can I meet Suresh Raina?,How do i meet suresh raina?,1.0
Who is more electable in a general Presidential election: Donald Trump or Ted Cruz?,Who is more delusional: Donald Trump or Ted Cruz?,0.0
My maths have become extremely weak and I am in class 12th. How can I improve my maths so that I can clear my JEE exams next year?,"I want to do a BBA. I only got 62% in class 12 (non maths). I am taking 1 year drop for the entrance exam of Symbiosis, GGSIPU, etc. Should I also give an improvement next year?",0.0
Do people with anemia die younger?,Does anemia increase irritability?,0.0
What if I shift my job from e-commerce to cloud computing?,What computer science courses should I take If I want to join a product based or e-commerce company?,0.0
Which city in India has the best weather?,Which city in Argentina has the best weather?,0.0
What kind of animal did this?,What kind of animal are you?,0.0
"Is there an end to the universe, and if not, is the universe infinite?",Is the Universe infinite or is there an end to the Universe?,1.0
What are most underrated date activities?,What is the most underrated activity?,0.0
Which were some of the bad experiences you had in life?,What were some of your good and bad life experiences?,1.0
Why is Saltwater taffy candy imported in China?,Why is Saltwater taffy candy imported in Laos?,1.0
How does Quora quickly mark questions as needing improvement?,Why does Quora mark my questions as needing improvement/clarification before I have time to give it details? Literally within secondsâ€¦,1.0
What is most important in life - money or values?,What is more important money or respect?,0.0
What are the best YouTube channels to learn medicine?,What are some of the best YouTube channels for learning Git?,0.0
If Hillary Clinton could not continue her Presidential campaign how would the Democratic Party choose a new candidate?,If Hillary Clinton can no longer serve as the Democratic nominee how would her successor be chosen?,1.0
What disadvantages do Apple computers/laptops have over other brands?,Why do so many people in the US have an Apple-branded phone or laptop?,0.0
"Will a Blu Ray play on a regular DVD player? If so, how?",How can you play a Blu Ray DVD on a regular DVD player?,1.0
Is the dynamic/flexi-pricing harsh on middle class people?,SEO or SMO which help to get more business?,0.0
How do you train a white Pitbull with brown spots?,How do I train White Pitbulls?,1.0
What is a good song to lyric prank your best friend?,What are some good lyric prank songs to send your best friends?,1.0
Is it feasible for Flipkart to offer an EMI on debit cards? What are the different factors involved?,Is there any way to purchase a phone on EMI via Flipkart with only a debit card? How?,0.0
What are some tips on making it through the job interview process at Medicines?,What are some tips on making it through the job interview process at Foundation Medicine?,0.0
How will I contact a good hacker?,How can I hire a hacker?,1.0
"Trump supporters, how do you feel about the way he's walking back his promises?",Do Trump supporters now expect the president to live up to his promises he so forcefully sold them on?,0.0
What is the painting on this image?,What is this painting?,0.0
Is Bihar really developing under mahagathbandhan sarkar?,Is Bihar developing under the leadership of Chief Minister Nitish Kumar?,0.0
When will the best time for having sex?,What would be the best time to have sex?,1.0
How do I register my domain site email?,How do you register a .an domain?,0.0
How do I make a girl who is a newly joined junior in my college to fall in love with me?,What do you have to do to become an airline pilot?,0.0
Which are the best Hollywood thriller movies?,What are the best thriller movie in Hollywood?,1.0
Which online test series is best for GATE 2017 in CS stream?,Which test series is the best for GATE computer science stream?,1.0
"What's the best on-line calender/scheduling/booking system? Something that allows me to show my availability &amp; customers can 'request' to meet me. When I 'accept' their request, the appointment pops into our calendars &amp; reminders are automated.",Is there a web service that can send appointment sms-reminders to customers extracting data from Google calendar?,0.0
How could start with open source development?,How should I start contributing to open source projects?,1.0
Which are the prospering towns in Kerala?,Why are there so many Christians in Kerala?,0.0
How does Anil Ambani benefit from Rafel fighter jet deal?,What is bought more online?,0.0
What universities does Sigma Designs recruit new grads from? What majors are they looking for?,What universities does Sigma-Aldrich recruit new grads from? What majors are they looking for?,0.0
Why do some people think Obama will try to take their guns away?,Has there been a gun control initiative to take away guns people already own?,0.0
Where can I buy best quality customized cupcakes in Gold Coast?,Where can I find delicious cupcakes at Gold Coast?,1.0
"Between Robert De Niro and Al Pacino, who is more successful?","Who do you regard as the best actor, Robert De Niro or Al Pacino?",0.0
Could we use cherenkov atmosphere radiation (with gamma rays or similar) to image the surface of a planet from here with ground based telescopes?,Can we map the surface (and the subsurface) of a planet using cosmic rays or very high frequency gamma rays with ground based telescopes?,1.0
What will the real estate look like now after the 500 and 1000 scraping?,How will abolishing Rs. 500 and Rs. 1000 notes affect the real estate businesses in India?,1.0
How many minutes of cardio a day should I do?,How many minutes of yoga can be done in a day?,0.0
What can I eat every day to be more healthy?,Is it healthy to eat a whole avocado every day?,1.0
What is my puk code?,What's the PUK for TF64SIMC4?,1.0
What are the best available smartphones gadgets?,What are some of the best smartphones technology gadgets?,1.0
What is the main reason for all the problems in India?,"If Frances Farmer (the actress) was still around today, what would she think about Donald Trump?",0.0
What is the best forum for graphic designers?,Who is the best graphic designer in israel?,0.0
How do you stop a criminal's attempt to kidnap you so you escape unharmed?,How do you stop a criminal's attempt to kidnap you and escape unharmed?,1.0
"When a girlfriend asks her boyfriend ""Why did you choose me? What makes you want to be with me?"", what should one reply to her?",My girlfriend said that we should end this because she is confused about her feelings for me. I wished her well and disconnected. Should I call her and ask her if she wants to get back together?,0.0
What is life without dreams?,Is life a dream or reality?,0.0
"Does the United States government still blacklist (employment, etc.) some United States citizens because their political views?",How is the average speed of gas molecules determined?,0.0
"Why does China block sanctions at the UN against the Jaish-e-Mohammad (JeM) chief, Masood Azhar?",Why does China support Masood Azhar?,1.0
What should I do if someone has posted a porn video under my name?,What should I do if someone has posted porn video under my name?,1.0
How can I become more fluent in Chinese?,How can I become fluent in chinese?,1.0
What is it like to be a private banker?,What is like to be a private banker in Switzerland?,0.0
Is Kristen Stewart a bad actress?  Why or why not?,Is Jennifer Lawrence a bad actress?,0.0
Why do I always get depressed?,Why do I always get depressed in the evening?,0.0
What universities does Rexnord recruit new grads from? What majors are they looking for?,What universities does B&amp;G Foods recruit new grads from? What majors are they looking for?,0.0
Which are the best movies of 2016?,What is your best 2016 movie?,1.0
"If my reservation status is RAC, does it mean the seat has been confirmed?","My family tickets have changed from RAC to CNF (Confirmed), will all of us have adjacent seats? After preparation of charts?",0.0
Is USA the most powerful country of the world?,Why is the USA the most powerful country of the world?,0.0
How did Lucifer and Gabrielle relate to each other?,"How do the roles of the CIA, the NSC, and other related organizations differ from each other, and relate to each other, now and in the past?",0.0
My girlfriend has stopped talking to me. What should I do?,My girlfriend is not talking to me. What should I do?,1.0
"What is the opposite of ""homebird""?",What is the opposite of take off?,0.0
"If a Canadian gets a tattoo in America, do they have to declare the cost when returning to Canada?",I'm a Canadian PR that just finished studying in the US. I got offered an H1-B. Should I take the offer or return to Canada?,0.0
Why does understanding death philosophical?,What makes understanding death philosophical?,1.0
Why does the caste system still exist in India?,Why does the caste system exist in India even after 7 decades of Independence?,1.0
"Why is Quora Digest filled with questions about Google, IQ, and China?",Why are there so many questions about IQ questions on Quora?,0.0
Why do some Japanese guys try to look feminine? Don't the girls find it gross?,Why have most of the guys in India become so desperate? Don't they know that girls don't always look for relationships? Would it hurt guys to become our friend first?,0.0
"If I jump rope for five minutes, how many calories will I use?",What's the best way to jump rope?,0.0
What's the best near-death experience you've ever had?,Has anyone ever had a near-death experience?,1.0
How does it feel to retake a class in college?,Does retaking subjects in college affect future job prospects?,0.0
How do we improve reading skills of children?,How do I improve my reading skill?,0.0
Why does Saturn benefit a house it sits in slowly?,Why does time seem to pass so slowly when you are in a boring lecture?,0.0
"If I do not monetize YouTube videos &amp; upload copyright content, then are there chances that Google may block my account?",How do you upload movies on YouTube and monetize them? Is there any issue of copyright,1.0
"Which option is better to reduce weight, swimming or gym?","Is it possible to burn 1000 calories each day? If yes, how?",0.0
Is it right to tell a girl the you have feelings for her?,What are some cool facts about Facebook?,0.0
"National Institute of Technology, Kurukshetra: How is the social life at NITK, Surathkal?","National Institute of Technology Karnataka (NITK) , Surathkal: To the graduating batch: What lessons would you want to give to your juniors before you leave?",0.0
How should I answer if an interviewer asks me to sell a pen or any other product as I am pursuing a MBA?,What should be the answer if your interviewer asks you to sell his pen in front of him?,0.0
"What exactly is the ""Common Core Initiative/Standards"" and what are the pros and cons?",What are the pros and cons of the Common Core Standards Initiative?,1.0
How do I make friends.,How to make friends ?,1.0
What are the most important things for living a good life?,Why should I live?,0.0
What is the best hostel booking affiliate program?,Which is the best non AC girls hostel in Srm?,0.0
Why does massaging one's temples soothe a migraine or headache?,What are the causes and most effective ways to treat or cure migraine headaches?,0.0
Should the Hobbit be considered a canonical Tolkien work?,"What is the proper, canonical spelling of Middle-earth in Tolkien's works?",0.0
How can I increase the speed of my internet connection while using a VPN?,How can Internet speed be increased by hacking through DNS?,0.0
How do payroll companies make money?,How companies make money?,0.0
What is the best recipe for chicken pizza?,What are some good pizza recipes?,0.0
Is it possible to do CA after 12th Science?,What should be done further to apply for Ph.D fellowship from a government institution if I have cleared TIFR GS 2016 written test?,0.0
What are some common facts every mechanical engineer should know?,What should all mechanical engineering students know?,0.0
How did early Europeans get protein before the Columbian Exchange?,How did they say breakfast in Portuguese before coffee was introduced to Europeans &amp; the Portuguese language?,0.0
What is the best way to prepare to IELTS?,What is the best way to prepare for IELTS?,1.0
What's the best way to start learning robotics?,What is the best way to start robotics? Which is the best development board that I can start working on it?,0.0
What was your first sexual experience like?,What was your first sexual experience?,1.0
How many Champions are there in League of Legends?,Who is the best LoL (League of Legends) champion?,0.0
How can I change my snapdeal account's mobile number?,How do I change the registered mobile number for the DBS bank account?,0.0
"What are some examples of sentences using the word ""hysteria""?",What is the best home wireless network setup and expected speeds?,0.0
What is value of 0?,Why does zero factorial (0!) equal one (1)?,0.0
What makes a great cup of coffee great?,What makes a perfect cup of coffee?,1.0
Were there any slave with the name Reddice?,"In Ancient Rome, slaves were branded. What happened with the brand mark if they were subsequently liberated?",0.0
What are the multiple uses of hollow columns?,What is the standard size of a column for building?,0.0
How do you write a song?,How do I write a song?,1.0
Will a Fitbit accurately track my activity if I am riding a bike?,What is the most accurate wearable item for activity  on the market today (i.e. Jawbone or Fitbit)?,0.0
Why is it that every teen girl has a crush on her mathematics teacher? Is it the intelligence or their behavior?,Do girls get crushes on their male teachers?,0.0
What are your views on Modi governments decision to demonetize 500 and 1000 rupee notes? How will this affect economy?,What are your views on ban of 500 and 1000 rupee notes in India?,1.0
Jawed habib haircut prices?,DO YOU THINK IF MY TREE FALLS ON YOUR PROPERTY IT SHOULD BE MYINE OR YOUR RESPONSABILITY?,0.0
"How do I deactivate the app ""App Lock""?",How do I recover the photos in app lock vault in an Android mobile?,0.0
Why is Barack Obama so important for the world?,Why is Barack Obama so important to the world?,1.0
Why are so many questions posted to Quora that are so easily answered by using Google?,Why do many Quora users ask questions they could look up online?,1.0
"Which one to learn, C++ or C#?",Which should I learn first: C++ or C#?,1.0
"I am frightened of Arvind kejriwal, he may kill me, What shall I do?",What is the risk of selling bitcoin and accepting credit card payment?,0.0
What are some of the best music albums ever?,What is regarded as the best music album?,1.0
"According to the International Federation of Robotics, how many robots existed in 2012?",What type of belt can be used to lift 200 Kg continuously?,0.0
Which YouTube video has the highest like/dislike ratio?,How is it possible for a YouTube video to have more likes/dislikes than views?,0.0
Why should one hate Shahrukh Khan?,Why do people hate Shahrukh Khan and why do people feel that he is not an Indian?,1.0
Operation executive salary in Infosys?,"How do I do the Wake Back To Bed lucid dreaming technique when I think I have restless leg syndrome (regardless, my legs hurt at night.)?",0.0
Is it normal if your sperm doesn't shoot out during ejaculation?,How do I ensure that semen doesn't come out from my penis after I ejaculate?,0.0
How can changing 500 and 1000 rupee notes end the black money in India?,Do you think scrapping of 500 and 1000 rupee denominations is going to eradicate corruption?,1.0
How do I learn how to sing?,I want to learn singing. How do I start?,1.0
What are some cute shounen ai series?,When will the PokÃ©mon series end?,0.0
Why my question was marked as needing imrovement?,How can I ask a question without getting marked as â€˜need to improveâ€™?,1.0
What are the questions should not ask on Quora?,Which question should I ask on Quora?,0.0
What were the main and most important political causes of World War 1?,What were the causes for World War 1?,1.0
How do I get over the fear of everything?,How do I get over my fears?,0.0
What's causing someone to be jealous?,What can I do to avoid being jealous of someone?,0.0
How did you managed long distance relationship?,How can long distance relationships be successful?,0.0
What are your comments on this picture?,What can I comment to my girlfriend's pictures?,0.0
"Is Morgan Freeman correct when he says the only way to stop racism, is to stop talking about it?",What are your views about this Morgan Freeman quote about Racism?,1.0
"What are the main imports and exports of Venezuela, and how does Venezuela's industry compare to Cuba's?","What are the main imports and exports of Venezuela, and how does Venezuela's industry compare to Bolivia's?",0.0
"Is there a ""blind trust"" provision for American Presidents, and how is it enforced?",Who will be the new American president? Why,0.0
What would be a cool way to commit suicide?,What can be the most insane ways to commit suicide?,1.0
How can I write a letter to Mr. Narendra Modi?,How can I write to Narendra Modi?,1.0
What is [math]x[/math] if [math]x+\left(\dfrac{1}{x}\right) =0[/math]?,What is [math]\mathop {\lim}\limits_{x \to 0^+}\frac{1}{x}^\frac{-x}{x+1}[/math]?,0.0
Can we do an M.Phil in India after doing Masters in UK (MA in Psychology)?,I'm a masters student interested to work in Humanitarian sector. What are the skills required? I'm a medical doctor doing my masters in UK,0.0
How can I get MOOC/E-learning through online web and video courses related to filmmaking &amp; production developed by Indian professors?,How can I get MOOCs/E-learning through online web and video courses related to photography developed by Indian professors?,0.0
What are symptoms of autism in kids?,What are the symptoms of autism in girls?,0.0
"What is an interesting fact that you know and I don't, but shouldn't?",What is the most interesting fact that most people don't know about?,1.0
How do you deal with a fear of dying?,How can you reduce your fear of dying?,1.0
Why are major Indian TV channels absent in northeast?,How many TV channels are there in the world?,0.0
How did you first come across porn?,How were you first introduced to porn?,1.0
What are some of your own personal Moon in the 3rd House stories and experiences?,What are some of your own personal Jupiter in the 1st house stories and experiences?,0.0
Life can be boring. What to do?,My life is boring. What can I do?,1.0
Where can I buy best quality commercial innerspring sofa bed in Chatswood West?,Where can I get quality services for cleaning paint and paint removal in Chatswood?,0.0
What is the difference between the iPhone 6s and iPhone 6s Plus?,What's the difference between the iPhone 6 and the iPhone 6s?,1.0
How would you destroy the world?,How can I destroy the world?,0.0
